English Sentence (SVO),SOV for ISL
The busy Children manages the technology awkwardly in the village last night.,The busy Children technology awkwardly in the village last night manages.
The tall The student loves the technology energetically in the park on Monday.,The tall The student technology energetically in the park on Monday loves.
The silly The engineer organizes the project angrily in the library this weekend.,The silly The engineer project angrily in the library this weekend organizes.
The silly It manages the garden awkwardly in the village on New Year's Eve.,The silly It garden awkwardly in the village on New Year's Eve manages.
The tired The scientist drives the poem happily in the kitchen at night.,The tired The scientist poem happily in the kitchen at night drives.
The young Children watchs the story cautiously under the bridge during the holidays.,The young Children story cautiously under the bridge during the holidays watchs.
The nervous We analyzes the coffee easily at school on Monday.,The nervous We coffee easily at school on Monday analyzes.
The strong The driver eats the poem gently in the park this weekend.,The strong The driver poem gently in the park this weekend eats.
The funny They reads the car clearly by the lake next month.,The funny They car clearly by the lake next month reads.
The nervous The teacher invents the science casually on the road later today.,The nervous The teacher science casually on the road later today invents.
The bold The player discovers the theory casually on the road in the morning.,The bold The player theory casually on the road in the morning discovers.
The small Birds designs the project easily in the kitchen at night.,The small Birds project easily in the kitchen at night designs.
